목록순위,차량ID,차량명,가격,연식,최초등록일,주행거리,사고여부,소유이력,렌트이력,내차피해,주의이력,상세URL
1,61377540,제네시스 GV70 (F/L) 가솔린 터보 2.5  2WD,"5,500만원",24년 6월식(25년형),24년 6월식(25년형),"9,885km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61377540
6,61379758,제네시스 GV70 (F/L) 가솔린 터보 2.5  AWD,"5,250만원",24년 10월식(25년형),24년 10월식(25년형),"24,367km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61379758
7,61380687,제네시스 GV70 (F/L) 가솔린 터보 2.5  AWD,"5,230만원",24년 6월식(25년형),24년 6월식(25년형),"16,283km",무사고,총 0회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61380687
13,61380694,제네시스 GV70 (F/L) 가솔린 터보 2.5  2WD,"4,890만원",24년 6월식(25년형),24년 6월식(25년형),"11,205km",무사고,총 0회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61380694
14,61373000,제네시스 GV70 가솔린 터보 2.5 AWD,"4,850만원",24년 5월식,24년 5월식,"32,106km",무사고,"없이 한분이 운행하시던 "" 1인 소유 "" 차량입니다.",없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61373000
17,61370325,제네시스 GV70 가솔린 터보 2.5 AWD,"4,780만원",24년 3월식,24년 3월식,"20,851km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61370325
18,61329973,제네시스 GV70 가솔린 터보 2.5 AWD,"4,550만원 4,770만원",23년 6월식,23년 6월식,"31,197km",무사고,총 3회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61329973
19,61374972,제네시스 GV70 가솔린 터보 2.5 스포츠 2WD,"4,750만원",23년 7월식,23년 7월식,"29,749km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61374972
20,61329189,제네시스 GV70 가솔린 터보 2.5 AWD,"4,740만원",23년 6월식,23년 6월식,"43,299km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61329189
21,61371312,제네시스 GV70 가솔린 터보 2.5 스포츠 2WD,"4,690만원",24년 1월식,24년 1월식,"16,778km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61371312
23,61379255,제네시스 GV70 가솔린 터보 2.5 AWD,"4,620만원",24년 1월식,24년 1월식,"21,736km",무사고,총 1회,없음,없음,없음,https://m.kcar.com/bc/detail/CarInfoDtl?i_sCarCd=EC61379255
